,time,text,url
91,Thu Oct 07 14:33:32 +0000 2021,Not Working Out: Theatres Struggle Week After Karnataka Allows 100% Occupancy https://t.co/HrL71YzyXs https://t.co/vA1f6D8tmi,https://ndtv.com/karnataka-news/not-working-out-theatres-struggle-week-after-karnataka-allows-100-occupancy-2567222
92,Thu Oct 07 14:31:48 +0000 2021,Terrorists Will Get Fitting Reply: J&amp;K Lt Governor On Teachers' Killings https://t.co/lD9Xc3QsLH https://t.co/GLvLalW8UI,https://ndtv.com/india-news/will-give-a-fitting-reply-to-terrorists-j-k-lt-governor-manoj-sinha-on-teachers-killings-2567438
93,Thu Oct 07 14:31:16 +0000 2021,Supreme Court Raps NGO Head Convicted In Contempt Case https://t.co/EoCBDHaELS https://t.co/3BKyu3zFSw,https://ndtv.com/india-news/we-tried-to-be-kind-supreme-court-raps-ngo-head-convicted-in-contempt-case-2567436
94,Thu Oct 07 14:30:59 +0000 2021,"Top stories now on https://t.co/Fbzw6mR9Q5 

#NDTVTopStories https://t.co/GrxJMc2zxd",http://ndtv.com
95,Thu Oct 07 14:30:35 +0000 2021,"Pak Should Face Isolation For Terror Support, Says US Ex-Security Advisor https://t.co/WGWqBoBt8I https://t.co/PgWwEZcCwe",https://ndtv.com/world-news/pak-should-face-isolation-for-terror-support-says-us-ex-security-advisor-2567418
96,Thu Oct 07 14:30:08 +0000 2021,"RT @ndtvfeed: Dalit Girl Raped, Filmed In Greater Noida; 2 Arrested, Say Police https://t.co/thj1daYFqb https://t.co/DTkq6lGWwE",https://www.ndtv.com/noida-news/greater-noida-dalit-girl-raped-filmed-2-arrested-say-police-2567329
97,Thu Oct 07 14:28:42 +0000 2021,"""Chats About Football"": Aryan Khan's Lawyer On Narcotics Agency's Claim https://t.co/fa4RFfSkSe https://t.co/ZYxRlyW9U4",https://ndtv.com/india-news/whatsapp-chats-about-football-says-aryan-khans-lawyer-on-narcotics-agencys-claim-2567393
98,Thu Oct 07 14:13:36 +0000 2021,"#AryanKhan Applies For Bail, Mumbai Court Decision Tomorrow Read more: 

NDTV's Rohit Khilnani reports 

Read more:… https://t.co/l5fTtw7rSk",https://twitter.com/i/web/status/1446116504232071191
99,Thu Oct 07 14:03:44 +0000 2021,"6.1-magnitude quake shakes Tokyo: Japan Meteorological Agency

(AFP news agency)",
100,Thu Oct 07 13:44:09 +0000 2021,"#FYI | RBI's new auto-debit rules: How will it work?

NDTV’s Roobina Mongia and Sonal Mehrotra Kapoor explains https://t.co/yy0a7ozBJg",
101,Thu Oct 07 13:42:18 +0000 2021,#AryanKhan https://t.co/PUOJYq8tYf,
102,Thu Oct 07 13:30:46 +0000 2021,"Top stories now on https://t.co/Fbzw6mR9Q5 

#NDTVTopStories https://t.co/pk32SdzTqM",http://ndtv.com
103,Thu Oct 07 13:27:41 +0000 2021,"Foreign Tourists Allowed From November 15 Into India 

NDTV's Neeta Sharma reports

Read more:… https://t.co/fGXsj6Oin4",https://twitter.com/i/web/status/1446104945590210566
104,Thu Oct 07 13:02:24 +0000 2021,Watch #RealityCheck tonight at 8:30 only on NDTV 24x7 https://t.co/eVBAr2odg5,
105,Thu Oct 07 13:01:16 +0000 2021,#NDTVCoronavirusTracker https://t.co/G8bDHS2QVM,
106,Thu Oct 07 13:00:55 +0000 2021,#NDTVCoronavirusTracker https://t.co/UZQuWr2ZJZ,
107,Thu Oct 07 12:54:01 +0000 2021,Watch #LeftRightCentre with Vishnu Som tonight at 9 only on NDTV 24x7 https://t.co/XMfNPLMjB2,
108,Thu Oct 07 12:38:19 +0000 2021,#Pfizer says submits US emergency authorisation request for #CovidVaccine for children belonging to the age group o… https://t.co/2jWqCpHFms,https://twitter.com/i/web/status/1446092524125179904
