time,text,url,retweet_count,favorite_count
Wed Sep 29 17:26:52 +0000 2021,#TerroristExposesPak | They had Osama within 1 km of a Pak military campus; It was claimed he was in the caves of T… https://t.co/RAFuXsrd7q,https://twitter.com/i/web/status/1443266035402960896,11,45
Wed Sep 29 17:26:24 +0000 2021,Taiwan President Tsai Ing-wen grateful to Nicaragua's MEA for supporting UNGA application https://t.co/nh34jidUvg,https://www.republicworld.com/world-news/rest-of-the-world-news/taiwan-president-tsai-ing-wen-grateful-to-nicaraguas-mea-for-supporting-unga-application.html,3,48
Wed Sep 29 17:25:39 +0000 2021,Congress labels Kapil Sibal 'anti-Dalit' for questioning Sonia Gandhi's leadership https://t.co/td6FwLW07w,https://www.republicworld.com/india-news/politics/congress-labels-kapil-sibal-anti-dalit-for-questioning-sonia-gandhis-leadership.html,25,112
Wed Sep 29 17:22:11 +0000 2021,#BREAKING on #TerroristExposesPak | There is no harm in accepting that Kasab and others who committed the 26/11 ter… https://t.co/4xffUGlNey,https://twitter.com/i/web/status/1443264856606445569,9,61
Wed Sep 29 17:20:43 +0000 2021,World Heart Day: @BeatO and RSSDI conduct 10 lakh blood sugar tests in single day https://t.co/6kOkXccAQG,https://www.republicworld.com/lifestyle/health/world-heart-day-beato-and-rssdi-conduct-10-lakh-blood-sugar-tests-in-single-day.html,2,10
Wed Sep 29 17:20:01 +0000 2021,"#TerroristExposesPak | 100% the Pak panelists will say it's a scam, the terrorist is not Pakistani, it's evident fr… https://t.co/RygQKhHWJ3",https://twitter.com/i/web/status/1443264312424873986,16,52
Wed Sep 29 17:18:53 +0000 2021,"#TerroristExposesPak | The Debate with Arnab is now #LIVE, on-air and online, here - https://t.co/NWgtMkjnrK https://t.co/to69Ki0RVy",https://youtube.com/watch?v=xtoOK86mW8Y,12,55
Wed Sep 29 17:16:26 +0000 2021,#TerroristExposesPak | They had Osama within 1 km of a Pak military campus; It was claimed he was in the caves of T… https://t.co/yo6CABE3Z4,https://twitter.com/i/web/status/1443263410821468161,10,57
Wed Sep 29 17:13:56 +0000 2021,#BREAKING on #TerroristExposesPak | There is no harm in accepting that Kasab and others who committed the 26/11 ter… https://t.co/Hgwq0PXYBi,https://twitter.com/i/web/status/1443262780711133185,6,52
Wed Sep 29 17:12:51 +0000 2021,"James Bond 25 Review: Daniel Craig exits with big, brash 'No Time To Die' https://t.co/4ntvONbDp4",https://www.republicworld.com/entertainment-news/movie-reviews/james-bond-25-review-daniel-craig-exits-with-big-brash-no-time-to-die.html,1,23
Wed Sep 29 17:11:11 +0000 2021,"#TerroristExposesPak | 100% the Pak panelists will say it's a scam, the terrorist is not Pakistani, it's evident fr… https://t.co/ZenNd6aKbT",https://twitter.com/i/web/status/1443262089703800832,6,40
Wed Sep 29 17:10:24 +0000 2021,Bengaluru Police arrest Singam 2 fame Nigerian actor Chekwume Malvin for peddling drugs https://t.co/f1vC508lF4,https://www.republicworld.com/india-news/city-news/bengaluru-police-arrest-singam-2-fame-nigerian-actor-chekwume-malvin-for-peddling-drugs.html,9,37
Wed Sep 29 17:08:41 +0000 2021,"#CongressBreaksApart | Congress is the only opposition right now, none of the others, even consolidated, poses a ch… https://t.co/4f7l2Q9OSA",https://twitter.com/i/web/status/1443261459870326784,8,35
Wed Sep 29 17:07:52 +0000 2021,"#CongressBreaksApart | Congress' days are over; it's in ICU, proclamation can come any time: M. R. Venkatesh, Polit… https://t.co/3wKt22uolZ",https://twitter.com/i/web/status/1443261256702435335,12,46
Wed Sep 29 17:06:20 +0000 2021,"#TerroristExposesPak | The Debate with Arnab is now #LIVE, on-air and online, here - https://t.co/3AdouRdizw https://t.co/EWiPrSDfHu",https://www.youtube.com/watch?v=xtoOK86mW8Y,5,36
Wed Sep 29 17:06:09 +0000 2021,AAP calls Cong 'Indian National Circus' amid Punjab crisis; 'Can't give future to India' https://t.co/MLWrJBoK4X,https://www.republicworld.com/india-news/politics/aap-calls-cong-indian-national-circus-amid-punjab-crisis-cant-give-future-to-india.html,11,76
Wed Sep 29 17:05:33 +0000 2021,European Commission adopts new pact; ramps up measures to tackle exploitation of migrants https://t.co/mmgO5nEIBj,https://www.republicworld.com/world-news/europe/european-commission-adopts-new-pact-ramps-up-measures-to-tackle-exploitation-of-migrants.html,5,16
Wed Sep 29 17:01:43 +0000 2021,"#CongressBreaksApart | Congress is the only opposition right now, none of the others, even consolidated, poses a ch… https://t.co/dWLR59Lyjq",https://twitter.com/i/web/status/1443259708308000769,7,32
Wed Sep 29 17:00:35 +0000 2021,"Mamata Banerjee is BJP's 'Trojan Horse', an 'untrustworthy ally': Congress' Adhir Ranjan https://t.co/ue4FRn6Puf",https://www.republicworld.com/india-news/politics/mamata-banerjee-is-bjps-trojan-horse-an-untrustworthy-ally-congress-adhir-ranjan.html,2,25
