time,text,url
Fri Sep 24 17:17:14 +0000 2021,#ModiMeetsBiden | India-US are largest democracies; it puts them at odds with autocracies like China. US wants rela… https://t.co/E5gSlOB1v2,https://twitter.com/i/web/status/1441451672216080385
Fri Sep 24 17:12:23 +0000 2021,"#ModiMeetsBiden | French, British worried about China, moving close to India. China is isolating itself; if Pakista… https://t.co/e89tJu6cg7",https://twitter.com/i/web/status/1441450452021776387
Fri Sep 24 17:10:13 +0000 2021,UPSC Result 2020: Bihar's Shubham Kumar tops civil services exam https://t.co/ISwMf3swiU,https://www.republicworld.com/india-news/education/upsc-result-2020-bihars-shubham-kumar-tops-civil-services-exam.html
Fri Sep 24 17:07:16 +0000 2021,"Relations with India is hugely important for the US, President Biden giving 50% more of his time to PM Modi sends o… https://t.co/MTWorh5hfT",https://twitter.com/i/web/status/1441449164999577603
Fri Sep 24 17:04:20 +0000 2021,#ModiMeetsBiden | Pakistan's only claim to fame in the world is it has a port and access to Afghanistan; else nobod… https://t.co/XLYmicGixY,https://twitter.com/i/web/status/1441448426080591875
Fri Sep 24 16:58:53 +0000 2021,#ModiMeetsBiden | Chinese economy depends on exports to other countries; if China sanctions other countries then it… https://t.co/5507r3OiM5,https://twitter.com/i/web/status/1441447057613475846
Fri Sep 24 16:57:13 +0000 2021,'Have brought docs with me..': Watch PM Modi's witty reply that left Joe Biden in splits #ModiMeetsBiden https://t.co/kSE7FXRPYl,https://www.republicworld.com/world-news/us-news/have-brought-docs-with-me-dot-watch-pm-modis-witty-reply-that-left-joe-biden-in-splits.html
Fri Sep 24 16:50:22 +0000 2021,PM Modi signs White House's visitor book; inks new chapter in India-US ties with Joe Biden #ModiMeetsBiden https://t.co/75TcVu52En,https://www.republicworld.com/world-news/us-news/pm-modi-signs-white-houses-visitor-book-inks-new-chapter-in-india-us-ties-with-joe-biden.html
Fri Sep 24 16:49:22 +0000 2021,#ModiMeetsBiden | US is less dependant on Pak now that its troops are out of Afghanistan. Rawalpindi is trying to s… https://t.co/hMR0l8rK2n,https://twitter.com/i/web/status/1441444660052856844
Fri Sep 24 16:46:59 +0000 2021,#ModiMeetsBiden | We no longer rely on Pakistan for entry into Afghanistan; we were dependent on Pakistan for suppl… https://t.co/9OvfXJKwrU,https://twitter.com/i/web/status/1441444059873112066
Fri Sep 24 16:43:50 +0000 2021,"#ModiMeetsBiden | Chemistry was good (between Biden and Modi), the fictitious propaganda of the naysayers has colla… https://t.co/6qleBtO9Wh",https://twitter.com/i/web/status/1441443268647030786
Fri Sep 24 16:41:41 +0000 2021,"FULL REMARKS: PM Modi &amp; President Biden Meet At The White House To Bolster India-US Ties #ModiMeetsBiden

https://t.co/mdMqlpCHE3",https://www.republicworld.com/world-news/us-news/full-remarks-pm-modi-and-president-biden-bolster-india-us-ties-answer-reporters-questions.html
Fri Sep 24 16:25:20 +0000 2021,WATCH: PM Modi and US President Joe Biden share warm embrace as India-US renew ties #ModiMeetsBiden https://t.co/GXUeNxY0B5,https://www.republicworld.com/world-news/us-news/watch-pm-modi-and-us-president-joe-biden-share-warm-embrace-as-india-us-renew-ties.html
Fri Sep 24 16:18:51 +0000 2021,"Andhra Pradesh CM Jagan Mohan Reddy sprains his leg, forced to cancel Delhi trip https://t.co/3Zg3UcJkhZ",https://www.republicworld.com/india-news/politics/andhra-pradesh-cm-jagan-mohan-reddy-sprains-his-leg-forced-to-cancel-delhi-trip.html
Fri Sep 24 16:07:25 +0000 2021,Bihar to reopen Anganwadis and Primary Schools from November 15: CM Nitish Kumar https://t.co/AsnDU8i2oU,https://www.republicworld.com/india-news/education/bihar-to-reopen-anganwadis-and-primary-schools-from-november-15-cm-nitish-kumar.html
Fri Sep 24 16:06:21 +0000 2021,"#BREAKING: Leon Panetta, former US Secretary of Defence and ex-Director of the CIA, #LIVE with Arnab on Republic TV… https://t.co/4ZVDJljizm",https://twitter.com/i/web/status/1441433837192445953
Fri Sep 24 16:02:40 +0000 2021,#ModiMeetsBiden | Each of the subjects mentioned by President Biden are crucial for the India-USA friendship. His e… https://t.co/6tBjRNKyZq,https://twitter.com/i/web/status/1441432909194285066
Fri Sep 24 16:01:43 +0000 2021,"#ModiMeetsBiden | During this transformative period in Indo-US relations, both countries are committed to democrati… https://t.co/vzamqOLQUO",https://twitter.com/i/web/status/1441432669334605839
Fri Sep 24 16:00:56 +0000 2021,"#ModiMeetsBiden | President Biden mentioned Gandhi Ji’s Jayanti. Gandhi Ji spoke about Trusteeship, a concept which… https://t.co/3Ni7BJXcFi",https://twitter.com/i/web/status/1441432470470074374
Fri Sep 24 16:00:45 +0000 2021,Suicide within 30 days of positive test to be treated as death due to COVID: Centre to SC https://t.co/EGZn9gGZBw,https://www.republicworld.com/india-news/law-and-order/suicide-within-30-days-of-positive-test-to-be-treated-as-death-due-to-covid-centre-to-sc.html
Fri Sep 24 15:59:38 +0000 2021,#ModiMeetsBiden | We are meeting at the start of the 3rd decade of this century. Your (Biden) leadership will play… https://t.co/35MoQjyJ9B,https://twitter.com/i/web/status/1441432144442658818
Fri Sep 24 15:56:51 +0000 2021,#ModiMeetsBiden | I've long believed that US-India relationship can help solve a lot of global challenges. Back in… https://t.co/lbHLooN2KR,https://twitter.com/i/web/status/1441431445474447367
Fri Sep 24 15:55:11 +0000 2021,"#ModiMeetsBiden | I thank you for the warm welcome accorded to me &amp; my delegation. Earlier, we had an opportunity t… https://t.co/lAiESPn1Ag",https://twitter.com/i/web/status/1441431023632326658
Fri Sep 24 15:52:24 +0000 2021,"'The PM (Modi) and I'll be talking about COVID, Climate Change, Indo-Pacific. It's about who we are, share values a… https://t.co/paU9n222wZ",https://twitter.com/i/web/status/1441430322436972561
Fri Sep 24 15:50:52 +0000 2021,'I think the relationship between India and the US is destined to be stronger and closer. We are launching a new ch… https://t.co/SHzDW7ikoB,https://twitter.com/i/web/status/1441429940319100938
Fri Sep 24 15:47:30 +0000 2021,UNMISSABLE: US President Biden's 'Indian-American on that seat daily' welcome for PM Modi https://t.co/Mn3yYJoIgS,https://www.republicworld.com/world-news/us-news/unmissable-us-president-bidens-indian-american-on-that-seat-daily-welcome-for-pm-modi.html
Fri Sep 24 15:42:04 +0000 2021,#BREAKING | Arnab Goswami is #LIVE as PM Modi meets US President Joe Biden at the White House; Tune in for unmissab… https://t.co/SpZDe65WQZ,https://twitter.com/i/web/status/1441427723151286272
Fri Sep 24 15:40:35 +0000 2021,"#BREAKING | Tune in to hear PM Modi and US President Joe Biden's conversation in the White House, #LIVE with Arnab… https://t.co/8t8mfzFNu8",https://twitter.com/i/web/status/1441427351129059331
Fri Sep 24 15:37:47 +0000 2021,Afghan citizens left to suffer as Pakistan shuts its border; angers Taliban https://t.co/TrD1T01gWe,https://www.republicworld.com/world-news/rest-of-the-world-news/afghan-citizens-left-to-suffer-as-pakistan-shuts-its-border-angers-taliban.html
Fri Sep 24 15:33:50 +0000 2021,#BREAKING | Arnab Goswami is #LIVE as PM Modi meets US President Joe Biden at the White House; Tune in for unmissab… https://t.co/K1ktt5itp9,https://twitter.com/i/web/status/1441425651328684043
Fri Sep 24 15:31:02 +0000 2021,#BREAKING | Video of PM Modi and US President Joe Biden meeting at the White House now #LIVE on Republic TV; Tune i… https://t.co/xQOQMlEBqu,https://twitter.com/i/web/status/1441424948925394944
Fri Sep 24 15:27:12 +0000 2021,#BREAKING | Modi-Biden meet underway at the White House. Watch Republic's Global coverage here… https://t.co/Pz85dZZ8fd,https://twitter.com/i/web/status/1441423982557679630
